Analyzing near_basket...                                        

   info - The private field _shops could be 'final' - lib\core\providers\store_provider.dart:5:19 - prefer_final_fields
   info - The private field _currentShopId could be 'final' - lib\core\providers\store_provider.dart:7:10 - prefer_final_fields
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:19:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:24:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:25:25 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:40:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:41:22 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:51:25 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:54:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:58:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:62:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:66:23 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:68:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:81:15 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:83:21 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\core\theme\app_theme.dart:84:18 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:31:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:32:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:33:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:36:26 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:43:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:44:17 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\features\auth\screens\role_selection_screen.dart:47:26 - prefer_const_constructors
